70	57	68	58	63	41	38	Autel-2.4G	145.33333333333334
75	63	75	53	76	62	60	Autel-2.4G	174.66666666666666
80	48	64	54	55	72	47	Autel-2.4G	208.2
85	44	69	54	52	50	42	Autel-2.4G	125.93333333333334
90	61	61	67	71	59	59	Autel-2.4G	198.13333333333333
95	58	74	45	49	54	52	Autel-2.4G	169.26666666666668
100	55	71	51	60	55	61	Autel-2.4G	192.73333333333332
105	56	63	52	63	61	61	Autel-2.4G	229.8
110	42	73	62	54	55	66	Autel-2.4G	182.86666666666667
115	46	51	57	59	54	56	Autel-2.4G	242.26666666666668
120	43	60	58	58	54	49	Autel-2.4G	166.26666666666668
125	66	66	49	58	57	60	Autel-2.4G	154.93333333333334
130	55	49	68	62	54	63	Autel-2.4G	220.26666666666668
135	52	67	51	50	56	60	Autel-2.4G	180.93333333333334
140	57	68	48	54	47	49	Autel-2.4G	170.2
145	52	72	50	40	46	66	Autel-2.4G	170.33333333333334
150	58	61	63	64	61	47	Autel-2.4G	168.8
155	55	74	54	63	63	50	Autel-2.4G	153.53333333333333
160	53	56	60	48	67	48	Autel-2.4G	211.73333333333332
165	46	68	72	55	64	48	Autel-2.4G	164.33333333333334
170	65	66	50	67	60	49	Autel-2.4G	174.8
175	56	72	46	54	49	61	Autel-2.4G	111.4
180	47	62	48	58	52	63	Autel-2.4G	199.2
185	55	75	57	42	65	38	Autel-2.4G	147.53333333333333
190	53	61	49	53	63	40	Autel-2.4G	194.53333333333333
195	61	73	43	49	38	59	Autel-2.4G	225.8
200	62	54	66	47	54	53	Autel-2.4G	162.93333333333334
205	49	49	51	69	43	62	Autel-2.4G	215.8
210	53	68	58	58	54	43	Autel-2.4G	171.06666666666666
215	60	60	61	54	57	50	Autel-2.4G	214.46666666666667
220	49	78	59	56	56	47	Autel-2.4G	149.4
225	46	67	55	49	55	59	Autel-2.4G	174.33333333333334
230	42	67	46	52	48	52	Autel-2.4G	178.26666666666668
235	48	55	51	65	59	51	Autel-2.4G	176.06666666666666
240	54	60	49	55	55	66	Autel-2.4G	233.0
245	51	52	47	54	53	48	Autel-2.4G	208.86666666666667
250	44	69	47	65	57	53	Autel-2.4G	188.46666666666667
255	63	60	60	56	60	59	Autel-2.4G	251.73333333333332
260	52	46	52	72	63	48	Autel-2.4G	218.8
265	59	51	49	50	60	60	Autel-2.4G	201.8
270	59	69	54	52	59	56	Autel-2.4G	201.93333333333334
275	66	55	37	66	57	51	Autel-2.4G	210.86666666666667
280	54	69	55	56	60	53	Autel-2.4G	203.06666666666666
285	55	54	42	63	65	60	Autel-2.4G	233.86666666666667
290	66	69	38	54	61	58	Autel-2.4G	153.73333333333332
295	60	68	50	55	50	53	Autel-2.4G	152.53333333333333
300	58	73	54	65	44	51	Autel-2.4G	153.26666666666668
305	71	75	41	63	45	68	Autel-2.4G	174.73333333333332
310	55	76	64	58	62	60	Autel-2.4G	194.13333333333333
315	53	61	57	60	64	49	Autel-2.4G	209.53333333333333
320	50	56	44	59	50	58	Autel-2.4G	208.86666666666667
325	65	65	60	47	61	54	Autel-2.4G	157.2
330	57	64	55	53	50	52	Autel-2.4G	170.26666666666668
335	59	74	54	53	64	40	Autel-2.4G	129.53333333333333
340	40	84	57	50	73	50	Autel-2.4G	131.6
345	70	61	51	58	55	48	Autel-2.4G	174.0
350	66	63	54	43	56	53	Autel-2.4G	181.2
355	57	66	49	45	39	69	Autel-2.4G	231.6
360	46	60	59	49	70	41	Autel-2.4G	160.4
0	64	67	55	46	72	46	Autel-2.4G	209.73333333333332
5	57	78	56	62	53	51	Autel-2.4G	123.53333333333333
